Date,Close,High,Low,Open,Volume
,ADANIENT.NS,ADANIENT.NS,ADANIENT.NS,ADANIENT.NS,ADANIENT.NS
2006-03-28,3.4922914505004883,3.6984237162342657,3.471379594655254,3.6984237162342657,4414195
2006-03-29,3.546065092086792,3.7043977116211995,3.507228045675925,3.552039907918279,4718641
2006-03-30,3.5102150440216064,3.6745239472284257,3.471379117401397,3.6386743129162187,4871908
2006-03-31,3.575939893722534,3.6685495481936616,3.513203577832593,3.566977297343159,4882555
2006-04-03,3.838832139968872,3.8955925179773314,3.5550269041487064,3.584900982970578,6425442
2006-04-04,3.8119451999664307,3.9433911503237002,3.7671340805264526,3.8776681751450655,6083155
2006-04-05,3.8059704303741455,3.8507815503596445,3.7551841226374694,3.8507815503596445,4738735
2006-04-07,3.8298685550689697,3.877667068834548,3.758170412667602,3.8418185552633646,7310935
2006-04-10,3.767133951187134,3.844806927302742,3.737259500833073,3.841819519442645,4635927
2006-04-12,3.6506245136260986,3.78207045373582,3.6147752491158243,3.764146379110299,4298481
2006-04-13,3.543077230453491,3.7014102180781725,3.5042413002003445,3.7014102180781725,4980118
2006-04-17,3.596850633621216,3.6625736005859273,3.501253590763454,3.5669765577281654,4863805
2006-04-18,3.647637367248535,3.6745244104959593,3.584901056922247,3.614775508113484,7176118
2006-04-19,3.6237382888793945,3.7282972005029587,3.6177631009333178,3.6924486750983605,8021879
2006-04-20,3.6327006816864014,3.66257476709417,3.5610025049545775,3.5699651023300865,6290390
2006-04-21,3.5938634872436523,3.6595864589852876,3.563989037426186,3.641662383899747,5540105
2006-04-24,3.5789268016815186,3.644649773087407,3.5699642065549035,3.6117879156313775,6738956
2006-04-25,3.584901809692383,3.6446507246211426,3.569965138589966,3.569965138589966,4814651
2006-04-26,3.6177632808685303,3.644650326827214,3.5849014184197254,3.6088006843802076,6613391
2006-04-27,3.596850633621216,3.644649526803157,3.5580139632071903,3.6207502660887165,4785096
2006-04-28,3.5699639320373535,3.5849005980915756,3.4982657788093605,3.5251528186155183,4951973
2006-05-02,4.352667808532715,4.352667808532715,3.620750333295935,3.7043973755960464,5003410
2006-05-03,5.2249932289123535,5.2249932289123535,4.555811665785165,4.660371680011433,23476043
2006-05-04,6.270590305328369,6.270590305328369,5.446062710791545,5.496849019315322,39268658
2006-05-05,6.897948265075684,6.897948265075684,6.422948896120901,6.503609657315455,44595957
2006-05-08,7.480494022369385,7.5880414410966806,7.1698021402737595,7.1698021402737595,27848314
2006-05-09,7.576091289520264,7.967443189525768,7.340085335125083,7.5282927657959045,39274856
2006-05-10,8.3348970413208,8.3348970413208,7.408796791780285,7.582067209017302,23754040
2006-05-11,9.16838550567627,9.16838550567627,8.666499481784463,8.944329908855115,27036858
2006-05-12,9.628448486328125,9.628448486328125,9.260996538535876,9.260996538535876,7158972
2006-05-15,10.112409591674805,10.112409591674805,10.112409591674805,10.112409591674805,3146878
2006-05-16,10.545587539672852,10.620273499856808,9.607538244177045,10.620273499856808,50545170
2006-05-17,11.074358940124512,11.074358940124512,10.814452967313946,10.814452967313946,3347119
2006-05-18,11.328289031982422,11.630018726386655,10.524673307577414,11.570269823000872,32081096
2006-05-19,10.856279373168945,11.895900477313326,10.763668225139938,11.895900477313326,23299381
2006-05-22,10.315555572509766,11.39998847853245,10.315555572509766,11.05344763651992,2432241
2006-05-23,9.801719665527344,9.858481168580674,9.801719665527344,9.807695225828086,2348575
2006-05-24,9.311779975891113,9.96005034755865,9.311779975891113,9.473100716967394,19220648
2006-05-25,8.88159465789795,9.022002848657909,8.84873316644349,8.84873316644349,6289216
2006-05-26,9.3267183303833,9.3267183303833,8.678449354140357,8.99810198707895,2082491
2006-05-29,9.795743942260742,9.795743942260742,9.795743942260742,9.795743942260742,520397
2006-05-30,10.28567886352539,10.28567886352539,10.28567886352539,10.28567886352539,815710
2006-05-31,10.80250358581543,10.80250358581543,10.80250358581543,10.80250358581543,2630760
2006-06-01,11.343225479125977,11.343225479125977,11.319326216423189,11.343225479125977,5484232
